,sentences
3957,A group of women are wearing pink bunny ears and are pointing to the right
3958,Several women are wearing pink bunny ears and are pointing to the right
3959,Several women are taking off pink bunny ears and are pointing to the left
3960,The women are wearing something right and pointing at several bunny ears
3961,The goal is being guarded by a hockey player in a yellow jersey
3962,A hockey player in a yellow jersey is guarding the goal
3963,There is no hockey player in a yellow jersey guarding the goal
3964,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal
3965,The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal
3966,"A child, who looks young, is standing in front of some trees"
3967,A young child is standing in front of some trees
3968,There is no young child standing in front of some trees
3969,The small boy is standing in the forest
3970,A small boy is standing in the forest
3971,A small boy is sitting in the forest
3972,Two people are looking at a statue made of gold
3973,Two people are looking at a gold statue
3974,Two people are ignoring the nearby gold statue
3975,Two young men are cheerfully playing outside near a golden statue
3976,Two young men are playing outside near a golden statue
3977,Two young men are sitting outside near a golden statue
3978,The bicyclist is speeding on a city street
3979,The bicyclist is riding on a city street
3980,The bicyclist is not riding on a city street
3981,The woman is wearing a blue helmet and is riding a bicycle in a parking lot
3982,A woman is wearing a blue helmet and is riding a bicycle in a parking lot
3983,There is no woman wearing a blue helmet and riding a bicycle in a parking lot
3984,A woman is parking a blue bicycle and is wearing lots of riding helmets
3985,"A pet dog is standing on the bank and is looking at another dog, which is brown, in the pond"
3986,A pet dog is standing on the bank and is looking at another brown dog in the pond
3987,There is no pet dog standing on the bank and looking at another brown dog in the pond
3988,The tan dog is watching a brown dog that is swimming in a pond
3989,The tan dog is not watching a brown dog that is swimming in a pond
3990,A young female is dancing
3991,A young girl is dancing
3992,A young girl is standing still
3993,A young girl is standing challengingly on one leg
3994,A young girl is standing on one leg
3995,A young girl is standing on both legs
3996,A bee is clinging to a yellow flower
3997,A yellow flower is being clung to by a bee
3998,A bee is taking off from a yellow flower
3999,The small bee is landing on a bunch of yellow flowers
4000,A small bee is landing on a bunch of yellow flowers
4001,There is no small bee landing on a bunch of yellow flowers
4002,Some people are treading through the snow of the landscape which is beautiful and snowy
4003,Some people are treading through the snow of the beautiful snowy landscape
4004,Nobody is treading through the snow of the beautiful snowy landscape
4005,Four people are difficultly walking with difficulty across thick snow and the sun is setting
4006,Four people are walking across thick snow and the sun is setting
4007,Four people are standing in thick snow and the sun is rising
4008,The young boys are posing with a green soccer ball in a park
4009,The young kids are posing with a green soccer ball in a park
4010,The young boys are not posing with a green soccer ball in a park
4011,Four boys are kneeling next to each other in front of a ball
4012,Some boys are kneeling next to each other in front of a ball
4013,There are no boys kneeling next to each other in front of a ball
4014,A tan dog is running through the brush
4015,"A dog, which is tan, is running through the brush"
4016,A tan dog is resting near a brush
4017,A white dog with beige spots is running through a field
4018,A white dog with beige spots is speeding through a field
4019,There is no white dog with beige spots running through a field
4020,A horse and its rider are leaping quickly over a barrier
4021,A horse and its rider are leaping over a barrier
4022,A horse and its rider are not leaping over a barrier
4023,The horse is leaping over the rider at the barrier
4024,A hurdle is being leapt by a horse that has a rider on its back
4025,A horse is leaping a hurdle and has a rider on its back
4026,A horse with no rider is falling over a hurdle
4027,Some football players in red and white are jumping and hugging
4028,Football players in red and white are jumping and hugging each other
4029,There are no football players in red and white jumping and hugging each other
4030,Two teammates are lifting a football player in a red and white uniform
4031,A football player in a red and white uniform is being lifted by two teammates
4032,A football player in a red and white uniform is being pulled down by two teammates
4033,Two teenage girls are wearing fancy dresses at an event
4034,Two girls in their teens are wearing fancy dresses at an event
4035,Two old ladies are wearing worn dresses at home
4036,A woman in a white dress and a woman in a blue dress are standing on a stage
4037,A woman in white clothing and a woman in a blue dress are standing on a stage
4038,A woman in a white dress and a woman in a blue dress are standing beside a stage
4039,A white woman is standing on a woman dressed in blue on a stage
4040,Two women with black hair are standing steadily in front of a plywood wall
4041,Two women with black hair are standing in front of a plywood wall
4042,There is no woman with black hair standing in front of a plywood wall
4043,"Two women with folded arms, who are young, are looking at the screen"
4044,Two young women with folded arms are looking at the screen
4045,Two young women with folded arms are looking away from the screen
4046,A group of students in uniforms is listening attentively at the front of the class
4047,Some students in uniforms are listening attentively at the front of the class
4048,A group of students in uniforms is ignoring the front of the class
4049,A classroom full of students is looking in the same direction inside a bamboo structure
4050,A classroom full of students is looking attentively in the same direction inside a bamboo structure
